Skills,Experience_Level,Description,Budget_Project
"Web Development: website, web design, webgl, html5; General: sql, agile",Entry Level,"Entry Level Web Development professional with experience in website, web design, webgl, html5.",$267-$908
"Marketing & SEO: twitter marketing, google analytics; General: git, sql",Entry Level,"Entry Level Marketing & SEO professional with experience in twitter marketing, google analytics.",$271-$833
"Graphic & Visual Design: freestyle drawing, 3d rendering; General: agile, api",Entry Level,"Entry Level Graphic & Visual Design professional with experience in freestyle drawing, 3d rendering.",$158-$675
"Marketing & SEO: seo keyword research, ecommerce marketing, google ad manager; General: sql, git",Expert,"Expert Marketing & SEO professional with experience in seo keyword research, ecommerce marketing, google ad manager.",$4378-$9984
"Data Science: microsoft power bi, looker, python, business intelligence; General: ",Expert,"Expert Data Science professional with experience in microsoft power bi, looker, python, business intelligence.",$3855-$6238
"Cybersecurity: security infrastructure, cybersecurity management, vpn, security testing; General: git, sql",Entry Level,"Entry Level Cybersecurity professional with experience in security infrastructure, cybersecurity management, vpn, security testing.",$335-$554
"DevOps: jenkins, azure machine learning, kubernetes; General: project management",Expert,"Expert DevOps professional with experience in jenkins, azure machine learning, kubernetes.",$3808-$5249
"Writing & Content Creation: content writing, editorial writing, ebook writing; General: ",Intermediate,"Intermediate Writing & Content Creation professional with experience in content writing, editorial writing, ebook writing.",$1446-$2608
"Marketing & SEO: google analytics, marketing strategy, google search console, social media marketing; General: api",Intermediate,"Intermediate Marketing & SEO professional with experience in google analytics, marketing strategy, google search console, social media marketing.",$817-$2821
"Translation & Languages: english to spanish translation, ukrainian, japanese; General: api, agile",Intermediate,"Intermediate Translation & Languages professional with experience in english to spanish translation, ukrainian, japanese.",$1018-$2716
"Web Development: cms development, jinja2, laravel; General: ",Intermediate,"Intermediate Web Development professional with experience in cms development, jinja2, laravel.",$561-$2022
"Cybersecurity: firewall, security testing, security assessment & testing, cybersecurity management; General: agile",Expert,"Expert Cybersecurity professional with experience in firewall, security testing, security assessment & testing, cybersecurity management.",$1577-$6282
